ligand_gene,receptor_gene,ligand_cell_type,receptor_cell_type,correlation
BGN,TPM1,permCAF,Ductal,0.692835033
BHLHE40,EGLN3,Ductal,permCAF,0.691923903
BHLHE40,F3,Ductal,permCAF,0.703436334
BRI3,CD163,permCAF,Macrophage,0.93987687
C1S,C3,restCAF,Endothelial,0.795691331
C1S,COL17A1,Ductal,permCAF,0.798391049
C1S,DCN,B,T,0.869806687
C1S,FXYD3,Ductal,permCAF,0.787277559
C1S,GSTP1,B,T,0.792866684
C3,LRP1,Ductal,permCAF,0.551613049
C3,LRP1,Endothelial,Ductal,0.422758414
C3,LRP1,Endothelial,permCAF,0.641367027
C3,LRP1,Macrophage,permCAF,0.730508711
C3,LRP1,Monocyte,Ductal,0.511048171
C3,C3AR1,permCAF,Ductal,0.89236672
C3,LRP1,Monocyte,permCAF,0.443011233
C3,CALD1,Endothelial,restCAF,0.805480435
C3,CD74,Endothelial,restCAF,0.829304089
C3,CNN2,Endothelial,restCAF,0.778789531
C3,COL4A1,Endothelial,restCAF,0.794502531
C3,COL4A2,Endothelial,restCAF,0.78247404
C3,COL5A1,Endothelial,restCAF,0.77413155
C3,COL6A2,Endothelial,restCAF,0.807366873
C3,COL6A3,Endothelial,restCAF,0.772495546
C3,CTSB,Endothelial,restCAF,0.8045891
C3,DCN,B,T,0.800869948
C3,DCN,Endothelial,restCAF,0.77573909
C3,DDIT4,Endothelial,restCAF,0.790378487
C3,FTL,Endothelial,restCAF,0.776634181
C3,GSTP1,Endothelial,restCAF,0.79326388
C3,HSPB1,Endothelial,restCAF,0.807236821
CALD1,CD74,Endothelial,restCAF,0.816975071
CALD1,COL17A1,Ductal,permCAF,0.830989528
CALD1,COL5A1,Endothelial,restCAF,0.778200669
CALD1,COL6A2,Endothelial,restCAF,0.772134751
CALD1,CTSB,Endothelial,restCAF,0.774858913
CALD1,DCN,B,T,0.878397059
CALD1,DDIT4,Endothelial,restCAF,0.772544539
CALD1,FXYD3,Ductal,permCAF,0.803226409
CALD1,GSTP1,B,T,0.8071981
CALD1,GSTP1,Endothelial,restCAF,0.80061048
CALD1,HSPB1,Endothelial,restCAF,0.804624344
CALD1,F3,Ductal,permCAF,0.691766549
CALD1,PKM,Ductal,permCAF,0.697874457
CALD1,THBS2,Ductal,permCAF,0.695684607
CD44,COL1A1,Ductal,Endothelial,0.514943648
CD44,COL1A1,Ductal,Macrophage,0.522975266
CD44,COL1A1,Ductal,Monocyte,0.740512128
CD44,COL1A1,Ductal,Pericyte,0.550335317
CD44,COL1A1,Ductal,permCAF,0.636430558
CD44,COL1A1,Ductal,restCAF,0.451122637
CD44,COL1A1,Ductal,T,0.464242584
CD44,COL1A1,Macrophage,permCAF,0.428326708
CD44,COL1A1,Macrophage,restCAF,0.467410827
CD44,COL1A1,Macrophage,T,0.425503671
CD44,COL1A1,permCAF,Ductal,0.426049815
CD44,COL1A1,permCAF,Macrophage,0.77376976
CD44,COL1A1,permCAF,Plasma,0.400084594
CD44,COL1A1,permCAF,restCAF,0.732395762
CD44,COL1A1,permCAF,T,0.781115198
CD44,COL1A2,Ductal,DC,0.465483301
CD44,COL1A2,Ductal,Endothelial,0.567620193
CD44,COL1A2,Ductal,Macrophage,0.5607605
CD44,COL1A2,Ductal,Monocyte,0.775936012
CD44,COL1A2,Ductal,pDC,0.463460899
CD44,COL1A2,Ductal,Pericyte,0.634876757
CD44,COL1A2,Ductal,permCAF,0.626781317
CD44,COL1A2,Ductal,restCAF,0.510118607
CD44,COL1A2,Ductal,T,0.493456842
CD44,COL1A2,Macrophage,Monocyte,0.433563186
CD44,COL1A2,Macrophage,permCAF,0.423644893
CD44,COL1A2,Macrophage,restCAF,0.425535967
CD44,COL1A2,Macrophage,T,0.430410472
CD44,COL1A2,Monocyte,Ductal,0.401953575
CD44,COL1A2,permCAF,DC,0.478184956
CD44,COL1A2,permCAF,Ductal,0.511086937
CD44,COL1A2,permCAF,Endothelial,0.536663938
CD44,COL1A2,permCAF,Macrophage,0.778580082
CD44,COL1A2,permCAF,Monocyte,0.48556109
CD44,COL1A2,permCAF,Pericyte,0.452703331
CD44,COL1A2,permCAF,Plasma,0.420557892
CD44,COL1A2,permCAF,restCAF,0.728566437
CD44,COL1A2,permCAF,T,0.834247764
CD44,FN1,Ductal,Endothelial,0.549039582
CD44,FN1,Ductal,Macrophage,0.570114469
CD44,FN1,Ductal,Monocyte,0.759850026
CD44,FN1,Ductal,Pericyte,0.655533802
CD44,FN1,Ductal,permCAF,0.58220789
CD44,FN1,Ductal,restCAF,0.491157953
CD44,FN1,Ductal,T,0.500954225
CD44,FN1,Macrophage,Monocyte,0.440366693
CD44,FN1,Macrophage,permCAF,0.45346225
CD44,FN1,Macrophage,restCAF,0.451507939
CD44,FN1,Macrophage,T,0.437743472
CD44,FN1,Monocyte,Ductal,0.424328162
CD44,FN1,permCAF,Ductal,0.509910112
CD44,FN1,permCAF,Endothelial,0.496933402
CD44,FN1,permCAF,Macrophage,0.749138103
CD44,FN1,permCAF,Monocyte,0.463309506
CD44,FN1,permCAF,Pericyte,0.442925515
CD44,FN1,permCAF,Plasma,0.420342913
CD44,FN1,permCAF,restCAF,0.691328252
CD44,FN1,permCAF,T,0.819250096
CD44,MMP7,Ductal,permCAF,0.473396405
CD44,SPP1,Ductal,Macrophage,0.55584079
CD44,SPP1,Ductal,Monocyte,0.680923501
CD44,SPP1,Ductal,permCAF,0.608071476
CD44,SPP1,Macrophage,permCAF,0.472536505
CD44,SPP1,Monocyte,Ductal,0.445078157
CD44,SPP1,Monocyte,Macrophage,0.423822483
CD44,SPP1,permCAF,Ductal,0.413145736
CD44,SPP1,permCAF,Macrophage,0.517079947
CD44,TIMP2,Ductal,permCAF,0.479008267
CD44,TIMP3,Ductal,permCAF,0.466740116
CD44,TIMP3,Macrophage,permCAF,0.420670561
CD44,VCAN,Ductal,Endothelial,0.63471269
CD44,VCAN,Ductal,Macrophage,0.522082265
CD44,VCAN,Ductal,Monocyte,0.69903684
CD44,VCAN,Ductal,permCAF,0.510872469
CD44,VCAN,Macrophage,Ductal,0.412255011
CD44,VCAN,Macrophage,Endothelial,0.402588347
CD44,VCAN,Macrophage,Monocyte,0.417475003
CD44,VCAN,Macrophage,permCAF,0.441857724
CD44,VCAN,Monocyte,Ductal,0.435361232
CD44,VCAN,permCAF,Ductal,0.561085752
CD44,VCAN,permCAF,Endothelial,0.601107166
CD44,VCAN,permCAF,Macrophage,0.705411134
CD44,VIM,Ductal,Macrophage,0.541933503
CD44,VIM,Ductal,Monocyte,0.729588977
CD44,VIM,Ductal,Pericyte,0.501937439
CD44,VIM,Ductal,permCAF,0.601731854
CD44,VIM,Ductal,restCAF,0.481018796
CD44,VIM,Ductal,T,0.42248935
CD44,VIM,Macrophage,permCAF,0.41334846
CD44,VIM,Macrophage,restCAF,0.461711608
CD44,VIM,Macrophage,T,0.437949948
CD44,VIM,permCAF,Macrophage,0.745579748
CD44,VIM,permCAF,Plasma,0.462857263
CD44,VIM,permCAF,restCAF,0.679004936
CD44,VIM,permCAF,T,0.754075074
