ligand_gene,receptor_gene,ligand_cell_type,receptor_cell_type,correlation
LRP1,SERPINA1,permCAF,Macrophage,0.689801036
LRP1,SERPINA1,permCAF,Plasma,0.446782385
LRP1,SERPINA1,permCAF,restCAF,0.648160277
LRP1,SERPINA1,permCAF,T,0.722685795
LRP1,SERPINE1,Ductal,Monocyte,0.402081824
LRP1,SERPINE1,Ductal,permCAF,0.409274097
LRP1,SERPINE1,permCAF,Macrophage,0.664348973
LRP1,SERPINE1,permCAF,restCAF,0.531327109
LRP1,THBS1,Ductal,Monocyte,0.438851187
LRP1,THBS1,permCAF,Ductal,0.484442887
LRP1,THBS1,permCAF,Endothelial,0.463287977
LRP1,THBS1,permCAF,Macrophage,0.712105715
LRP1,THBS1,permCAF,restCAF,0.630972157
LRP1,THBS1,permCAF,T,0.706445409
MCL1,MT-CYB,Endothelial,Pericyte,0.471596275
MCL1,MT-CYB,Pericyte,Endothelial,0.520652332
MCL1,MT-CYB,permCAF,Ductal,0.567060837
MCL1,MT-ND4L,Endothelial,Pericyte,0.445936989
MCL1,MT-ND4L,Pericyte,Endothelial,0.511031165
MCL1,MT-ND4L,permCAF,Ductal,0.415459115
MCL1,MT-ND4,Endothelial,Pericyte,0.450948886
MCL1,S100A6,permCAF,restCAF,0.404657387
MCL1,SERPINE1,permCAF,Ductal,0.460166589
MCL1,SERPINE1,restCAF,Endothelial,0.469015516
MCL1,SFRP4,permCAF,Ductal,0.532927452
MCL1,TIMP1,Endothelial,Pericyte,0.465004707
MCL1,TIMP1,Pericyte,Endothelial,0.594930703
MCL1,TIMP1,permCAF,Ductal,0.545834811
MCL1,TMSB4X,Endothelial,Pericyte,0.441027766
MCL1,TMSB4X,Pericyte,Endothelial,0.649953267
MXRA5,LY9,T,permCAF,0.754471764
MT-CYB,MT-ND4L,Endothelial,Pericyte,0.533925664
MT-CYB,MT-ND4L,Pericyte,Endothelial,0.511393185
MT-CYB,MT-ND4,Ductal,permCAF,0.405669876
MT-CYB,MT-ND4,Endothelial,Pericyte,0.511461879
MT-CYB,MT-ND4,Pericyte,Endothelial,0.404380399
MT-CYB,S100A6,Ductal,permCAF,0.487780661
MT-CYB,S100A6,Ductal,restCAF,0.533868159
MT-CYB,SERPINE1,Ductal,Endothelial,0.421643102
MT-CYB,SERPINE1,Ductal,permCAF,0.410883485
MT-CYB,SERPINE1,restCAF,Endothelial,0.424867022
MT-CYB,SFRP4,Ductal,permCAF,0.492812977
MT-CYB,THBS1,Ductal,permCAF,0.561067122
MT-CYB,TIMP1,Ductal,permCAF,0.470146275
MT-CYB,TIMP1,Endothelial,Pericyte,0.474927684
MT-CYB,TIMP1,Pericyte,Endothelial,0.544717636
MT-CYB,TMSB4X,Ductal,permCAF,0.458183463
MT-CYB,TMSB4X,Endothelial,Pericyte,0.489538715
MT-CYB,TMSB4X,Pericyte,Endothelial,0.637696842
MT-ND4,SERPINE1,restCAF,Endothelial,0.44683703
MT-ND4,TIMP1,Pericyte,Endothelial,0.529520133
MT-ND4,TMSB4X,Pericyte,Endothelial,0.648733578
MT-ND4L,MT-ND4,Endothelial,Pericyte,0.543962227
MT-ND4L,S100A6,Ductal,restCAF,0.400247556
MT-ND4L,SERPINE1,restCAF,Endothelial,0.669874648
MT-ND4L,SFRP4,restCAF,Ductal,0.417400716
MT-ND4L,THBS1,restCAF,Endothelial,0.412578861
MT-ND4L,THBS1,restCAF,permCAF,0.451941707
MT-ND4L,TIMP1,Endothelial,Pericyte,0.510557472
MT-ND4L,TIMP1,Pericyte,Endothelial,0.631341069
MT-ND4L,TIMP1,restCAF,Ductal,0.419655075
MT-ND4L,TMSB4X,Endothelial,Pericyte,0.493770844
MXRA5,CCL4,permCAF,Ductal,0.90846011
MT-ND4L,TMSB4X,Pericyte,Endothelial,0.648641091
MYL6,TAGLN,permCAF,Ductal,0.710014234
NBL1,PKM,Ductal,permCAF,0.694122392
NBL1,PKM,permCAF,Ductal,0.712012494
NBL1,SH3BGRL3,permCAF,Ductal,0.695320434
NBL1,TAGLN,permCAF,Ductal,0.728868623
NBL1,TPM1,permCAF,Ductal,0.716413509
NRP1,VEGFA,Ductal,permCAF,0.406404064
PKM,S100A10,Ductal,permCAF,0.723680932
PKM,TAGLN,permCAF,Ductal,0.699117857
SAR1A,SPARCL1,B,T,0.91876011
PKM,TPM1,permCAF,Ductal,0.697755429
TNXB,SPARCL1,B,T,0.886862279
TUBB,SPARCL1,B,T,0.847386899
TKT,TIMM8B,B,T,0.829520133
SCGB3A1,OLFML3,T,permCAF,0.793680932
UQCRQ,MPEG1,T,permCAF,0.831341069
S100A10,TAGLN,permCAF,Ductal,0.701134324
S100A10,TPM1,permCAF,Ductal,0.699212531
S100A6,SERPINE1,permCAF,Ductal,0.414134932
S100A6,SERPINE1,restCAF,Ductal,0.464586342
S100A6,SERPINE1,restCAF,Endothelial,0.720115313
S100A6,SFRP4,permCAF,Ductal,0.473868985
S100A6,SFRP4,restCAF,Ductal,0.568403407
S100A6,THBS1,restCAF,permCAF,0.543040462
S100A6,TIMP1,permCAF,Ductal,0.479399394
S100A6,TIMP1,restCAF,Ductal,0.565731469
SDC4,TGM2,Ductal,Endothelial,0.642377239
SDC4,TGM2,Ductal,Macrophage,0.590073412
SDC4,TGM2,Ductal,Monocyte,0.809978766
SDC4,TGM2,Ductal,permCAF,0.511720627
SDC4,TGM2,Ductal,restCAF,0.657521612
SDC4,TGM2,Macrophage,Monocyte,0.410905552
SDC4,TGM2,Monocyte,Ductal,0.450276719
SDC4,TGM2,permCAF,Ductal,0.726496854
SDC4,TGM2,permCAF,Endothelial,0.606357462
SDC4,TGM2,permCAF,Macrophage,0.694398446
SDC4,TGM2,permCAF,Monocyte,0.65066564
SDC4,TGM2,permCAF,restCAF,0.661334435
SDC4,THBS1,Ductal,Endothelial,0.534105115
SDC4,THBS1,Ductal,Macrophage,0.535346887
SDC4,THBS1,Ductal,Monocyte,0.771856448
SDC4,THBS1,Ductal,Pericyte,0.498300142
SDC4,THBS1,Ductal,permCAF,0.54509855
SDC4,THBS1,Ductal,restCAF,0.502705702
SDC4,THBS1,Monocyte,Ductal,0.475032325
SDC4,THBS1,permCAF,Ductal,0.698171634
SDC4,THBS1,permCAF,Endothelial,0.480925185
SDC4,THBS1,permCAF,Macrophage,0.660372914
SDC4,THBS1,permCAF,Monocyte,0.608941142
SDC4,THBS1,permCAF,restCAF,0.556560994
SDC4,THBS1,permCAF,T,0.572677805
SERPINE1,SFRP4,Ductal,permCAF,0.518591732
SERPINE1,SFRP4,Endothelial,Ductal,0.506289807
SERPINE1,SFRP4,Endothelial,restCAF,0.426924378
SERPINE1,SFRP4,permCAF,Ductal,0.483592941
SERPINE1,SFRP4,permCAF,restCAF,0.409547177
SERPINE1,THBS1,Ductal,permCAF,0.618923693
SERPINE1,THBS1,Endothelial,permCAF,0.482833118
SERPINE1,THBS1,Endothelial,restCAF,0.621457226
SERPINE1,THBS1,restCAF,permCAF,0.510178857
SERPINE1,TIMP1,Ductal,permCAF,0.457296769
SERPINE1,TIMP1,Endothelial,Ductal,0.479754639
SERPINE1,TIMP1,Endothelial,restCAF,0.412438621
SERPINE1,TIMP1,permCAF,Ductal,0.460726701
SERPINE1,TMSB4X,Ductal,permCAF,0.445330074
SFRP4,THBS1,Ductal,permCAF,0.62369404
SFRP4,THBS1,restCAF,permCAF,0.472751234
SFRP4,TIMP1,Ductal,permCAF,0.482132607
SFRP4,TIMP1,permCAF,Ductal,0.546795416
SFRP4,TMSB4X,Ductal,permCAF,0.416021047
TAGLN,THBS2,Ductal,permCAF,0.723203479
TAGLN,TIMP1,Ductal,permCAF,0.694828821
TAGLN,TPM1,Ductal,permCAF,0.701400848
TAGLN,TPM1,permCAF,Ductal,0.704069965
THBS1,TIMP1,Pericyte,Endothelial,0.409310367
THBS1,TIMP1,permCAF,Ductal,0.60319443
THBS1,TMSB4X,Pericyte,Endothelial,0.41994096
THBS2,TPM1,permCAF,Ductal,0.696450662
TIMP1,TMSB4X,Ductal,permCAF,0.442840624
TIMP1,TMSB4X,Endothelial,Pericyte,0.541136281
TIMP1,TMSB4X,Pericyte,Endothelial,0.615331722
