method,gene
S3R,PIP
S3R,PKP1
S3R,PLAC9
S3R,PLCG2
S3R,PLD3
S3R,PLEC
S3R,PLIN2
S3R,PM20D1
S3R,POLR2L
S3R,PPIA
S3R,PPP1CA
S3R,PPP1R14B
S3R,PRDX1
S3R,PRDX2
S3R,PRDX6
S3R,PRMT1
S3R,PRPF8
S3R,PRR9
S3R,PRXL2A
S3R,PSAP
S3R,PSMA6
S3R,PSMB1
S3R,PSMD8
S3R,PSME1
S3R,PTGDS
S3R,PTMA
S3R,PTPA
S3R,PTPRF
S3R,RAB1A
S3R,RACK1
S3R,RALY
S3R,RBM3
S3R,RBM5
S3R,REEP5
S3R,RHOC
S3R,RHOT2
S3R,RNASE1
S3R,ROMO1
S3R,RPL10
S3R,RPL10A
S3R,RPL11
S3R,RPL12
S3R,RPL13
S3R,RPL13A
S3R,RPL14
S3R,RPL15
S3R,RPL17
S3R,RPL18
S3R,RPL18A
S3R,RPL19
S3R,RPL21
S3R,RPL22
S3R,RPL23
S3R,RPL23A
S3R,RPL24
S3R,RPL26
S3R,RPL27
S3R,RPL27A
S3R,RPL28
S3R,RPL29
S3R,RPL3
S3R,RPL30
S3R,RPL31
S3R,RPL32
S3R,RPL34
S3R,RPL35
S3R,RPL35A
S3R,RPL36
S3R,RPL36A
S3R,RPL36AL
S3R,RPL37
S3R,RPL37A
S3R,RPL38
S3R,RPL39
S3R,RPL4
S3R,RPL41
S3R,RPL5
S3R,RPL6
S3R,RPL7
S3R,RPL7A
S3R,RPL8
S3R,RPL9
S3R,RPLP0
S3R,RPLP1
S3R,RPLP2
S3R,RPS10
S3R,RPS11
S3R,RPS12
S3R,RPS13
S3R,RPS14
S3R,RPS15
S3R,RPS15A
S3R,RPS16
S3R,RPS17
S3R,RPS18
S3R,RPS19
S3R,RPS2
S3R,RPS20
S3R,RPS21
S3R,RPS23
S3R,RPS24
S3R,RPS25
S3R,RPS26
S3R,RPS27
S3R,RPS27A
S3R,RPS28
S3R,RPS29
S3R,RPS3
S3R,RPS3A
S3R,RPS4X
S3R,RPS5
S3R,RPS6
S3R,RPS7
S3R,RPS8
S3R,RPS9
S3R,RPSA
S3R,RXRA
S3R,S100A10
S3R,S100A11
S3R,S100A16
S3R,S100A2
S3R,S100A6
S3R,SBSN
S3R,SCGB1B2P
S3R,SDC1
S3R,SDC4
S3R,SELENOM
S3R,SELENOP
S3R,SELENOW
S3R,SERBP1
S3R,SERF2
S3R,SERPINF1
S3R,SERPING1
S3R,SERPINH1
S3R,SF3B1
S3R,SFN
S3R,SFRP2
S3R,SH3BGRL3
S3R,SIVA1
S3R,SLC25A1
S3R,SLC25A3
S3R,SLC25A6
S3R,SLC38A2
S3R,SMARCD2
S3R,SNHG25
S3R,SNHG29
S3R,SNHG5
S3R,SNHG7
S3R,SNHG8
S3R,SNRNP70
S3R,SNU13
S3R,SPARC
S3R,SPG7
S3R,SPINT2
S3R,SPTAN1
S3R,SSR4
S3R,SYNGR2
S3R,SYT8
S3R,TAF10
S3R,TAGLN
S3R,TAGLN2
S3R,TALDO1
S3R,TECR
S3R,TGFBI
S3R,TIMP1
S3R,TIMP2
S3R,TMA7
S3R,TMBIM6
S3R,TMEM134
S3R,TMEM147
S3R,TMEM258
S3R,TMEM259
S3R,TMEM59
S3R,TMEM91
S3R,TMSB10
S3R,TMSB4X
S3R,TOMM6
S3R,TOMM7
S3R,TPI1
S3R,TPM3
S3R,TPSAB1
S3R,TPSB2
S3R,TPT1
S3R,TRAPPC5
S3R,TRIM29
S3R,TRIR
S3R,TRMT112
S3R,TSPO
S3R,TUBA1B
S3R,TUBA1C
S3R,TUBB
S3R,TUBB4B
S3R,TUFM
S3R,TXN
S3R,TXNIP
S3R,UBA52
S3R,UBB
S3R,UBC
S3R,UBE2D3
S3R,UBL5
S3R,UBXN6
S3R,UQCR11
S3R,UQCRC1
S3R,UQCRH
S3R,UQCRQ
S3R,VAMP8
S3R,VAT1
S3R,VCP
S3R,VEGFB
S3R,VIM
S3R,VKORC1
S3R,WDR83OS
S3R,YBX3
S3R,YWHAB
S3R,YWHAQ
S3R,ZFAS1
S3R,ZNF706
nnSVG,SDF4
nnSVG,ACAP3
nnSVG,MXRA8
nnSVG,AURKAIP1
nnSVG,CCNL2
nnSVG,GNB1
nnSVG,RER1
nnSVG,MEGF6
nnSVG,RPL22
nnSVG,PARK7
nnSVG,ENO1
nnSVG,CLSTN1
nnSVG,CTNNBIP1
nnSVG,CAPZB
nnSVG,MICOS10
nnSVG,NBL1
nnSVG,HSPG2
nnSVG,CDC42
nnSVG,C1QA
nnSVG,RPL11
nnSVG,SH3BGRL3
nnSVG,HMGN2
nnSVG,SFN
nnSVG,ATP5IF1
nnSVG,SERINC2
nnSVG,COL16A1
nnSVG,SFPQ
nnSVG,C1orf122
nnSVG,NDUFS5
nnSVG,MACF1
nnSVG,YBX1
nnSVG,ELOVL1
nnSVG,PTPRF
nnSVG,ATP6V0B
nnSVG,RPS8
nnSVG,PRDX1
nnSVG,AKR1A1
nnSVG,UQCRH
nnSVG,PODN
nnSVG,TMEM59
nnSVG,DHCR24
nnSVG,TACSTD2
nnSVG,SERBP1
nnSVG,SRSF11
nnSVG,GNG5
nnSVG,RPL5
nnSVG,SARS
nnSVG,LAMTOR5
nnSVG,RHOC
nnSVG,OLFML3
nnSVG,CSDE1
nnSVG,ATP1A1
nnSVG,TXNIP
nnSVG,MRPS21
nnSVG,ECM1
nnSVG,ENSA
nnSVG,CTSK
nnSVG,PSMB4
nnSVG,S100A10
nnSVG,S100A11
nnSVG,TCHH
nnSVG,FLG2
nnSVG,PRR9
nnSVG,LOR
nnSVG,S100A6
nnSVG,S100A4
nnSVG,S100A2
nnSVG,S100A16
nnSVG,S100A14
nnSVG,S100A13
nnSVG,JTB
nnSVG,RPS27
nnSVG,PMVK
nnSVG,ADAM15
nnSVG,DPM3
nnSVG,MUC1
nnSVG,FDPS
nnSVG,SSR2
nnSVG,LMNA
nnSVG,HDGF
nnSVG,ACKR1
nnSVG,TAGLN2
nnSVG,TSTD1
nnSVG,MGST3
nnSVG,PRDX6
nnSVG,GAS5
nnSVG,SOAT1
nnSVG,GLUL
nnSVG,CFH
nnSVG,PKP1
nnSVG,PHLDA3
nnSVG,CSRP1
nnSVG,CHI3L1
nnSVG,PM20D1
nnSVG,CD34
nnSVG,MIR205HG
nnSVG,NENF
nnSVG,DEGS1
nnSVG,H3F3A
nnSVG,ARF1
nnSVG,GUK1
nnSVG,TOMM20
nnSVG,HNRNPU
nnSVG,RPS7
nnSVG,YWHAQ
nnSVG,LAPTM4A
nnSVG,SDC1
nnSVG,HADHA
nnSVG,OST4
nnSVG,ATRAID
nnSVG,SNX17
nnSVG,ZFP36L2
nnSVG,CALM2
nnSVG,RTN4
nnSVG,RPS27A
nnSVG,RAB1A
nnSVG,PCBP1
nnSVG,NAGK
nnSVG,CCT7
nnSVG,ACTG2
nnSVG,AUP1
nnSVG,TMSB10
nnSVG,MAT2A
nnSVG,VAMP8
nnSVG,VAMP5
nnSVG,SNRNP200
nnSVG,COX5B
nnSVG,RPL31
nnSVG,DBI
nnSVG,MZT2B
nnSVG,ATP5MC3
nnSVG,HNRNPA3
nnSVG,COL3A1
nnSVG,SF3B1
nnSVG,HSPE1
nnSVG,BZW1
nnSVG,EEF1B2
nnSVG,RPL37A
nnSVG,IGFBP5
nnSVG,ARPC2
nnSVG,PNKD
nnSVG,TUBA4A
nnSVG,DES
nnSVG,NCL
nnSVG,PTMA
nnSVG,NDUFA10
nnSVG,COPS9
nnSVG,GPC1
nnSVG,HDLBP
nnSVG,ARPC4
nnSVG,BRK1
nnSVG,RPL32
nnSVG,FBLN2
nnSVG,RPL15
nnSVG,ACAA1
nnSVG,RPSA
nnSVG,RPL14
nnSVG,CTNNB1
nnSVG,NBEAL2
nnSVG,PLXNB1
nnSVG,TMA7
nnSVG,COL7A1
nnSVG,UQCRC1
nnSVG,QARS
nnSVG,LAMB2
nnSVG,RBM5
nnSVG,GNAI2
nnSVG,RPL29
nnSVG,NISCH
nnSVG,TKT
nnSVG,FLNB
nnSVG,MTRNR2L12
nnSVG,TMEM45A
nnSVG,RPL24
nnSVG,CCDC80
nnSVG,FSTL1
nnSVG,NDUFB4
nnSVG,ITGB5
nnSVG,SEC61A1
nnSVG,CNBP
nnSVG,H1FX
nnSVG,ATP1B3
nnSVG,AP2M1
nnSVG,PSMD2
nnSVG,EIF4G1
nnSVG,EIF4A2
nnSVG,CLDN1
nnSVG,APOD
nnSVG,RPL35A
nnSVG,ATP5ME
nnSVG,FGFR3
nnSVG,MXD4
nnSVG,LRPAP1
nnSVG,MRFAP1
nnSVG,S100P
nnSVG,PSAPL1
nnSVG,SOD3
nnSVG,RPL9
nnSVG,HOPX
nnSVG,IGFBP7
nnSVG,CCNI
nnSVG,HNRNPD
nnSVG,HNRNPDL
nnSVG,UBE2D3
nnSVG,RPL34
nnSVG,SNHG8
nnSVG,PGRMC2
nnSVG,NDUFC1
nnSVG,RPS3A
nnSVG,SFRP2
nnSVG,MSMO1
nnSVG,ACSL1
nnSVG,NDUFS6
nnSVG,RPL37
nnSVG,SELENOP
nnSVG,HMGCS1
nnSVG,BTF3
nnSVG,RPS23
nnSVG,COX7C
nnSVG,REEP5
nnSVG,HINT1
nnSVG,PDLIM4
nnSVG,UQCRQ
nnSVG,SKP1
nnSVG,CXCL14
nnSVG,TGFBI
nnSVG,CD14
nnSVG,NDUFA2
nnSVG,CSNK1A1
nnSVG,CD74
nnSVG,RPS14
nnSVG,GPX3
nnSVG,ANXA6
nnSVG,GM2A
nnSVG,SPARC
nnSVG,ATOX1
nnSVG,SLIT3
nnSVG,NPM1
nnSVG,DUSP1
nnSVG,HIGD2A
nnSVG,CLTB
nnSVG,PRELID1
nnSVG,LMAN2
nnSVG,TMED9
nnSVG,NHP2
nnSVG,HNRNPH1
nnSVG,CANX
nnSVG,MGAT1
nnSVG,RACK1
nnSVG,DSP
nnSVG,HLA-A
nnSVG,HLA-E
nnSVG,TUBB
nnSVG,DDR1
nnSVG,CDSN
nnSVG,HLA-C
nnSVG,HLA-B
nnSVG,DDX39B
nnSVG,BAG6
nnSVG,CSNK2B
nnSVG,CLIC1
nnSVG,TNXB
nnSVG,HLA-DRA
nnSVG,HLA-DRB5
nnSVG,HLA-DRB1
nnSVG,HLA-DQB1
nnSVG,HLA-DMA
nnSVG,HLA-DPA1
nnSVG,HLA-DPB1
nnSVG,RPS18
nnSVG,TAPBP
nnSVG,CUTA
nnSVG,HMGA1
nnSVG,RPS10
nnSVG,RPL10A
nnSVG,SRSF3
nnSVG,CDKN1A
nnSVG,PI16
nnSVG,MTCH1
nnSVG,TOMM6
nnSVG,MRPL14
nnSVG,HSP90AB1
nnSVG,ELOVL5
nnSVG,DST
nnSVG,EEF1A1
nnSVG,COX7A2
nnSVG,SNHG5
nnSVG,GJA1
nnSVG,RPS12
nnSVG,PERP
nnSVG,SF3B5
nnSVG,EZR
nnSVG,PSMB1
nnSVG,INTS1
nnSVG,EIF3B
nnSVG,ACTB
nnSVG,RAC1
nnSVG,NDUFA4
nnSVG,TOMM7
nnSVG,GPNMB
nnSVG,HNRNPA2B1
nnSVG,AQP1
nnSVG,MRPS24
nnSVG,AEBP1
nnSVG,PPIA
nnSVG,CHCHD2
nnSVG,EIF4H
nnSVG,GTF2I
nnSVG,MDH2
nnSVG,HSPB1
nnSVG,COL1A2
nnSVG,SEM1
nnSVG,PDAP1
nnSVG,ATP5MF
nnSVG,AZGP1
nnSVG,LAMTOR4
nnSVG,PCOLCE
nnSVG,GNB2
nnSVG,ZNHIT1
nnSVG,FIS1
nnSVG,UPK3BL1
nnSVG,ARF5
nnSVG,ATP6V1F
nnSVG,CALD1
nnSVG,NDUFB2
nnSVG,PIP
nnSVG,GSTK1
nnSVG,ZYX
nnSVG,RARRES2
nnSVG,INSIG1
nnSVG,FDFT1
nnSVG,CTSB
nnSVG,CLU
nnSVG,SARAF
nnSVG,RPS20
nnSVG,SNHG6
nnSVG,RPL7
nnSVG,FABP5
nnSVG,FABP4
nnSVG,UQCRB
nnSVG,RPL30
nnSVG,COX6C
nnSVG,PABPC1
nnSVG,YWHAZ
nnSVG,ZNF706
nnSVG,EIF3E
nnSVG,EIF3H
nnSVG,NDUFB9
nnSVG,NDRG1
nnSVG,LY6D
nnSVG,LY6E
nnSVG,EEF1D
nnSVG,PUF60
nnSVG,PLEC
nnSVG,GRINA
nnSVG,GPAA1
nnSVG,CYC1
nnSVG,CPSF1
nnSVG,VPS28
nnSVG,RPL8
nnSVG,WASHC1
nnSVG,PLIN2
nnSVG,RPS6
nnSVG,AQP3
nnSVG,VCP
nnSVG,TPM2
nnSVG,ANXA1
nnSVG,HNRNPK
nnSVG,NINJ1
nnSVG,SEC61B
nnSVG,KLF4
nnSVG,TXN
nnSVG,ATP6V1G1
nnSVG,GSN
nnSVG,PSMB7
nnSVG,RPL35
nnSVG,RPL12
nnSVG,NIBAN2
nnSVG,ENG
nnSVG,C9orf16
nnSVG,COQ4
nnSVG,SPTAN1
nnSVG,SH3GLB2
nnSVG,CRAT
nnSVG,PTPA
nnSVG,RPL7A
nnSVG,RXRA
nnSVG,EGFL7
nnSVG,SNHG7
nnSVG,RABL6
nnSVG,PHPT1
nnSVG,EDF1
nnSVG,FBXW5
nnSVG,PTGDS
nnSVG,NPDC1
nnSVG,DPP7
nnSVG,SSNA1
nnSVG,TUBB4B
nnSVG,MRPL41
nnSVG,CALML5
nnSVG,CALML3
nnSVG,VIM
nnSVG,CXCL12
nnSVG,PSAP
nnSVG,ANAPC16
nnSVG,RPS24
nnSVG,PLAC9
nnSVG,PRXL2A
nnSVG,GHITM
nnSVG,CDHR1
nnSVG,ADIRF
nnSVG,ACTA2
nnSVG,PGAM1
nnSVG,NDUFB8
nnSVG,OGA
nnSVG,ELOVL3
nnSVG,ATP5MD
nnSVG,COL17A1
nnSVG,PDCD4
nnSVG,ABLIM1
nnSVG,HTRA1
nnSVG,ECHS1
nnSVG,PSMD13
nnSVG,IFITM2
nnSVG,IFITM1
nnSVG,IFITM3
nnSVG,PKP3
nnSVG,RNH1
nnSVG,HRAS
nnSVG,EPS8L2
nnSVG,TALDO1
nnSVG,RPLP2
